,date,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,volatility_bbm_3,ichiconversionline_3,volatility_bbh_3,volatility_bbl_3,volatility_kch_3,volatility_kcl_3,volatility_kcw_3,signal
18,12/31/2009,198,198,198,198,49,71.01120413,66.66666667,,,,19.98645114,,8.870883709,,,,,191.5,184.3,3.831825439,-33.33333333,,195.5,170,,,,,,,,,,0
19,2/8/2010,198,198,198,198,294,71.01120413,63.51351351,,,,18.01153699,,7.983795338,166.35,103.4937354,229.2062646,75.57110262,195.4,188.2,3.753910323,-36.48648649,,197,170,,,,,,,,,,0
20,6/6/2010,138,134,138,134,643,40.64485393,4.395604396,,,,9.534768262,,13.5854158,167.5,107.675256,227.324744,71.4325302,192.8666667,184.8666667,4.235792446,-95.6043956,,179.5,170,,,,,,,,,,0
21,7/27/2010,138,138,138,138,150,40.64485393,4.395604396,,,,3.438859803,,12.22687422,168.4,110.9669085,225.8330915,68.21032245,188.7666667,181.9666667,3.668404963,-95.6043956,,179.5,170,,,,,,,,,,0
22,8/1/2010,138,138,138,138,100,40.64485393,4.395604396,,,,-0.860505546,,11.0041868,169,113.1215605,224.8784395,66.12833076,184.7666667,177.9666667,3.749310788,-95.6043956,,179.5,170,,,,,,,,,,0
23,9/6/2010,142,140,142,140,1252,42.68561494,8.791208791,,,,-3.367214787,,10.30376812,169.5,114.7880269,224.2119731,64.55690041,181,173.8,4.058624577,-91.20879121,,179.5,170,,,,,,,,,,0
24,12/5/2010,153,144,153,144,345,47.98227943,20.87912088,,,,-3.794885007,-10.04872072,10.37339131,170.25,116.8913081,223.6086919,62.68275112,178,169.6,4.833141542,-79.12087912,,179.5,170,,,,,,,,,,0
25,12/27/2010,166,160,166,160,146,53.4566232,35.16483516,,,,-2.552412938,-7.044998917,10.63605218,171.35,119.3104958,223.3895042,60.74059437,173.5,166.9,3.877790834,-64.83516484,170,179.5,170,174.75,,,,,,,,,0
26,1/16/2011,169,169,169,169,147,54.64290686,38.46153846,0.23583554,,,-1.297064027,-4.631720005,9.87244696,172.25,121.0333035,223.4666965,59.46786241,168.1666667,163.1666667,3.018108652,-61.53846154,172.5,166,170,169.25,,,,,,,,,0
27,2/1/2011,172,172,172,172,90,55.85462213,41.75824176,0.256250202,,,-0.063808878,-2.718771885,9.185202264,173.05,122.3766342,223.7233658,58.56499946,162.6,158.4,2.61682243,-58.24175824,175.5,166,170,170.75,,,,,,,,,0
28,2/10/2011,187,175,187,175,125,61.40632473,58.24175824,0.349783838,0.280623194,,2.45705416,-0.158327077,9.766682038,174.6,124.2119062,224.9880938,57.71832054,162.3,155.7,4.150943396,-41.75824176,178.5,160.5,170,169.5,,,,,,,,,0
29,2/21/2011,190,190,190,190,20,62.42412997,61.53846154,0.366931555,0.324321865,,4.47253838,1.485725714,9.090013834,176.15,125.8696858,226.4303142,57.08806612,161.5,154.9,4.17193426,-38.46153846,179.5,164,170,171.75,,,,,,,,,0
30,2/23/2011,193,193,193,193,10,63.46184902,64.83516484,0.384414774,0.367043389,0.323996149,6.088859856,2.481637752,8.481012451,177.5,126.9332125,228.0667875,56.97666199,166.7333333,160.9333333,3.540183113,-35.16483516,179.5,165.5,170,172.5,,,,,,,,,0
31,3/7/2011,202,202,202,202,10,66.45484723,100,0.849953752,0.533766694,0.408377316,8.055974461,3.559001885,8.532911206,178.85,127.1923771,230.5076229,57.76642199,173.1333333,167.3333333,3.40708831,0,179.5,171,170,175.25,,,,,,,,,0
32,3/15/2011,212,212,212,212,10,69.44933619,100,0.948565833,0.727644786,0.54281829,10.32815309,4.664944411,8.679620085,180.55,126.9161487,234.1838513,59.41163251,180.5333333,174.7333333,3.265152937,0,179.5,178,170,178.75,,,,,,,,,0
33,3/16/2011,228,216,228,216,125,73.52203434,100,1,0.932839862,0.731417114,13.42180367,6.206875993,9.411658077,182.9,125.412958,240.387042,62.86171899,189.8,182,4.195804196,0,181,194,171.5,187.5,,,,,,,,,0
34,3/17/2011,240,232,240,232,30,76.09586811,100,1,0.982855278,0.881113309,16.5625546,7.478101537,9.670492269,185.55,122.8970671,248.2029329,67.53212923,198.4333333,190.8333333,3.904778215,0,187,204.5,177.5,195.75,,,,,,,,,0
35,3/20/2011,252,244,252,244,30,78.36111452,100,1,1,0.97189838,19.65831932,8.45909301,9.903443042,187.9,119.2650235,256.5349765,73.05479138,207.1666667,199.1666667,3.937653815,0,193,212,183.5,202.5,,,,,,,,,0
36,3/21/2011,257,257,257,257,10,79.2437177,100,1,1,0.994285093,21.86876606,8.535631801,9.413098738,189.9,115.8705464,263.9294536,77.96677577,215.9666667,207.9666667,3.77417833,0,195.5,216,186,205.75,,,,,,,,,0
37,3/22/2011,267,262,267,262,20,80.91991658,100,1,1,1,23.96811773,8.507986777,9.471788864,192,111.9675066,272.0324934,83.36718063,225.8,216.8,4.066877542,0,200.5,228.5,191,214.5,,,,,,,,,0
38,3/23/2011,282,272,282,272,30,83.12172702,100,1,1,1,26.49438265,8.827401354,10.02460998,196.2,107.0515844,285.3484156,90.87504136,235.1666667,226.5666667,3.725093849,0,208,237.5,198.5,222.75,,,,,,,,,0
39,3/24/2011,302,287,302,287,40,85.52091461,100,1,1,1,29.80897611,9.713595848,11.02214898,201.4,101.0139452,301.7860548,99.68823715,247.3666667,235.7666667,4.801987029,0,218,252,208.5,235,,,,,,,,,0
40,3/27/2011,314,308,314,308,20,86.73892467,100,1,1,1,32.69785612,10.08198069,11.11993408,210.2,102.9645581,317.4354419,102.0318191,259.8666667,247.0666667,5.049973698,0,224,263,214.5,243.5,,,,,,,,,0
41,3/29/2011,326,320,326,320,331,87.84049057,100,1,1,1,35.22108536,10.08416795,11.20794067,219.6,106.5276338,332.6723662,102.9802971,272.6666667,258.6666667,5.269761606,0,230,271,220.5,250.5,,,,,,,,,0
42,3/30/2011,358,332,358,332,140,90.1824888,100,1,1,1,39.65143928,11.61161749,13.28714661,230.6,108.9424478,352.2575522,105.5139221,289,269.8,6.871868289,0,246,295,236.5,270.5,,,,,,,,,0
43,3/31/2011,393,365,393,365,915,91.99790757,100,1,1,1,45.62424101,14.06753538,15.45843195,243.15,109.4514211,376.8485789,109.9720986,306.5666667,284.1666667,7.583794154,0,263.5,318.5,254,291,,,,,,,,,0
44,4/4/2011,395,400,408,392,459,92.08794259,93.68932039,1,1,1,48.84928317,13.83406203,15.51258875,255.25,112.8563555,397.6436445,111.5719056,323.4666667,299.4666667,7.705479452,-6.310679612,271,332.5,261.5,301.75,,,,,,,,,0
45,4/5/2011,413,402,415,402,797,92.86592985,99.01477833,1,1,1,51.87278681,13.48605254,15.96132988,267.6,115.7785259,419.4214741,113.4689642,340.0333333,315.0333333,7.63281091,-0.985221675,274.5,338.5,265,306.5,,,,,,,,,0
46,4/6/2011,407,415,415,407,1062,89.69973496,95.9798995,0.83632072,0.94544024,0.981813413,52.0156341,10.90311986,15.16519689,279.5,123.2137242,435.7862758,111.8327555,356.1,329.5,7.759626604,-4.020100503,276.5,343.5,265,310,,,,,,,,,0
47,4/7/2011,368,400,400,368,1336,72.41676445,74.31693989,0,0.612106907,0.852515716,46.49672274,4.307366798,17.5486772,289.3,136.6682864,441.9317136,105.5179493,370.1333333,338.1333333,9.036144578,-25.68306011,276.5,351,265,313.75,,,,,,,,,0
48,4/10/2011,360,368,368,355,1286,69.4602916,67.83625731,0,0.278773573,0.612106907,40.64422296,-1.236106381,17.09380948,297.95,149.9507095,445.9492905,99.34505154,378.6666667,346.0666667,8.996412474,-32.16374269,277.5,361.5,265,319.5,,,,,,,,,0
49,4/28/2011,200,200,200,200,10,36.96023247,0,0,0,0.29696016,17.81671144,-19.25089432,31.38442853,298.45,151.8519441,445.0480559,98.23960859,367.4666667,337.8666667,8.393194707,-100,279.5,307.5,265,293.5,,,,,,,,,0
50,5/5/2011,200,204,204,200,300,36.96023247,0,0,0,0.092924524,1.594809367,-28.37823712,28.64598568,298.8,153.1804958,444.4195042,97.46954765,356.2,327,8.548009368,-100,287.5,307.5,265,297.5,,,,,,,,,0
51,5/8/2011,204,204,204,204,10,37.80399342,1.860465116,0.015092575,0.005030858,0.001676953,-9.215266373,-31.35065029,26.18138711,298.9,153.5440232,444.2559768,97.26060678,343.6,315.6,8.495145631,-98.13953488,292,307.5,265,299.75,,,,,,,,,0
52,5/9/2011,196,200,200,196,479,36.74470491,0,0,0.005030858,0.003353906,-17.35025043,-31.58850748,24.3632484,298.1,150.678292,445.521708,98.90755319,326.2,302.6,7.506361323,-100,293.5,305.5,267.5,299.5,,,,,,,,,0
53,5/10/2011,202,196,202,196,437,38.14461469,2.739726027,0.024944391,0.013345656,0.007802458,-21.87936903,-28.89410086,22.52692356,296.8,146.4981703,447.1018297,101.2815564,305.6333333,286.4333333,6.485756109,-97.26027397,295,305.5,270.5,300.25,,,,,,,,,0
54,5/11/2011,199,199,199,199,139,37.69540792,1.369863014,0.016940169,0.01396152,0.010779345,-24.80371351,-25.45475628,20.5742312,294.75,140.3429082,449.1570918,104.7715636,284.1,268.1,5.795001811,-98.63013699,302.5,305.5,273.5,304,,,,,,,,,0
55,5/26/2011,202,202,202,202,1026,38.47567734,2.739726027,0.030843454,0.024242671,0.017183282,-25.87971184,-21.22460368,18.81680808,292.25,133.5945557,450.9054443,108.5751543,262,248.6,5.248726988,-97.26027397,304,298,274.5,301,,,,,,,,,0
56,6/2/2011,206,206,206,206,61,39.56248958,4.566210046,0.050208895,0.032664173,0.023622788,-25.54016224,-16.70804326,17.33512727,289.7,127.2658903,452.1341097,112.1395304,240.8333333,229.0333333,5.022701476,-95.43378995,305.5,282,274.5,293.75,,,,,,,,,0
57,6/5/2011,226,210,226,210,166,44.81186998,13.69863014,0.143745349,0.074932566,0.04394647,-22.45256839,-10.89635953,17.60161455,287.65,123.1005849,452.1994151,114.4094664,223.4333333,214.8333333,3.924551263,-86.30136986,305.5,211,274.5,258.25,,,,,,,,,0
58,6/6/2011,230,227,231,227,184,45.82534331,15.52511416,0.161803995,0.11858608,0.075394273,-19.31910675,-6.210318315,16.34145309,285.05,118.5934291,451.5065709,116.791139,209.3666667,202.5666667,3.301505098,-84.47488584,305.5,213.5,274.5,259.5,,,,,,,,,0
59,6/7/2011,233,234,234,233,82,46.61714135,16.89497717,0.18643057,0.163993305,0.11917065,-16.34241459,-2.586900922,15.10730778,281.6,113.8365952,449.3634048,119.1501455,212.8,205.8,3.344481605,-83.10502283,305.5,215,274.5,260.25,,,,,,,,,0
60,6/13/2011,221,229,229,221,112,43.85598023,12.25490196,0.199351409,0.182528658,0.155036014,-15.2142715,-1.167006266,14.79657701,276.95,107.8861363,446.0138637,122.0898095,215.4333333,207.6333333,3.687362118,-87.74509804,305.5,215,274.5,260.25,,,,,,,,,0
61,7/5/2011,225,225,225,225,73,45.02487592,16.86046512,0.253095599,0.212959193,0.186493718,-13.61421525,0.346439985,13.7169193,271.9,102.9646277,440.8353723,124.2628704,217.5333333,209.7333333,3.651115619,-83.13953488,305.5,215,274.5,260.25,,,,,,,,,0
62,7/6/2011,217,221,221,217,2270,43.09251275,55.26315789,0.642982903,0.365143304,0.253543718,-13.06073895,0.719933028,13.14522737,264.85,99.13787009,430.5621299,125.1365905,219.6333333,211.8333333,3.615574784,-44.73684211,305.5,216.5,274.5,261,,,,,,,,,0
63,7/19/2011,205,213,213,205,570,40.29866443,23.68421053,0.359988089,0.418688864,0.332263787,-13.68893462,0.073389886,13.03070464,255.45,98.8007421,412.0992579,122.6457294,220.6,212.4,3.787528868,-76.31578947,305.5,218,274.5,261.75,,,,,,,,,0
64,7/20/2011,225,209,225,209,50,46.52182512,76.31578947,0.990345217,0.664438736,0.482756968,-11.56302213,1.759441901,13.72763417,246.95,103.630113,390.269887,116.0719878,224.2666667,212.8666667,5.215799908,-23.68421053,305.5,219.5,274.5,262.5,,,,,,,,,0
65,7/21/2011,236,220,236,220,301,49.6316239,100,1,0.783444435,0.622190678,-8.58552653,3.789550002,13.95487076,238.1,116.7049424,359.4950576,101.969809,228.7333333,214.1333333,6.593406593,0,305.5,220.5,274.5,263,,,,,,,,,0
66,7/24/2011,248,240,248,240,153,52.85259447,100,1,0.996781739,0.814888303,-4.98168941,5.914709698,13.75938368,230.15,136.3517591,323.9482409,81.51052872,233.4666667,217.2666667,7.188285757,0,305.5,226.5,274.5,266,,,,,,,,,0
67,7/26/2011,252,252,252,252,74,53.91061274,100,1,1,0.926742058,-1.922698575,7.178960426,12.78344531,224.35,153.9333116,294.7666884,62.77395887,235,222,5.689277899,0,305.5,228.5,274.5,267,,,,,,,,,0
68,7/27/2011,267,257,272,257,521,57.74041661,92.85714286,1,1,0.998927246,1.906299991,8.806367194,13.50510078,219.7,180.2583976,259.1416024,35.9049635,239.7,224.5,6.548901336,-7.142857143,305.5,238.5,274.5,272,,,,,,,,,0
69,7/28/2011,286,272,286,272,328,62.04286837,100,1,1,1,6.617550851,10.81409444,14.0545907,224,176.2171579,271.7828421,42.66325188,245.8,228,7.513718869,0,305.5,245.5,274.5,275.5,,,,,,,,,0
70,7/31/2011,292,291,296,291,218,63.31310346,95.6043956,1,1,1,10.37798229,11.65962071,13.64913163,228.6,173.7533046,283.4466954,47.9848604,252.4333333,235.2333333,7.053998633,-4.395604396,305.5,250.5,274.5,278,,,,,,,,,0
71,8/2/2011,292,297,297,292,197,63.31310346,94.56521739,1,1,1,12.72154026,11.20254294,12.78421847,233,172.8867735,293.1132265,51.59933605,259.8,241.6,7.259672916,-5.434782609,305.5,251,274.5,278.25,,,,,,,,,0
72,8/15/2011,287,290,290,282,434,61.32952917,89.13043478,0.913811747,0.971270582,0.990423527,13.47211022,9.562490316,12.50579662,237.55,175.5807334,299.5192666,52.17366161,267,248,7.378640777,-10.86956522,298,253,276.5,275.5,,,,,,,,,0
73,8/16/2011,285,292,292,285,318,60.51285803,86.95652174,0.878326583,0.930712777,0.967327786,13.43615586,7.621228765,11.95521696,241.7,178.7012699,304.6987301,52.12968982,274.8666667,256.0666667,7.081868408,-13.04347826,282,258.5,276.5,270.25,,,,,,,,,0
74,8/17/2011,285,290,290,285,175,60.51285803,86.95652174,0.878326583,0.890154971,0.930712777,13.07954159,5.811691596,11.25969526,246,183.5084006,308.4915994,50.8061784,280.4666667,263.8666667,6.099203919,-13.04347826,246.5,268.5,277.5,257.5,,,,,,,,,0
75,8/18/2011,280,280,280,280,147,58.26337564,81.52173913,0.780584362,0.845745843,0.888871197,11.95448625,3.749309007,10.63372574,249.9,189.1681303,310.6318697,48.60493775,283.8,270.4,4.83579935,-18.47826087,246.5,274.5,279.5,260.5,,,,,,,,,0
76,8/22/2011,270,280,280,270,600,53.94425982,70.65217391,0.592914534,0.750608493,0.828836435,9.770386603,1.252167489,10.57035316,253.1,195.2833934,310.9166066,45.68676935,286.8,273,4.930332262,-29.34782609,246.5,277,287.5,261.75,,,,,,,,,0
77,8/24/2011,275,275,275,275,10,55.71208427,75,0.547323376,0.640274091,0.745542809,8.574703227,0.045187291,10.01331785,255.55,198.3854131,312.7145869,44.7384754,289.1,275.3,4.890148831,-25,246.5,283.5,292,265,,,,,,,,,0
78,8/25/2011,280,280,280,280,63,57.47014532,77.92207792,0.572929367,0.571055759,0.653979448,8.091892419,-0.350098814,9.511986063,258.05,201.2011654,314.8988346,44.06032524,289.0666667,278.2666667,3.807285546,-22.07792208,246.5,283.5,293.5,265,,,,,,,,,0
79,8/29/2011,270,275,275,270,97,52.94350413,52.63157895,0.008690749,0.376314498,0.529214782,6.447186368,-1.595843892,9.560787457,259.9,204.0326571,315.7673429,42.99141429,287.2,278.2,3.183586841,-47.36842105,248,283.5,295,265.75,,,,,,,,,0
80,9/4/2011,260,265,265,260,273,48.80377544,17.77777778,0,0.193873372,0.380414543,4.039804744,-3.202580413,9.604708711,261.85,208.9037065,314.7962935,40.44017074,284.0666667,275.0666667,3.219267915,-82.22222222,249.5,276,302.5,262.75,,,,,,,,,0
81,9/5/2011,250,255,255,250,270,45.01337207,0,0,0.002896916,0.191028262,1.164582763,-4.862241915,9.64423784,263.1,212.5672383,313.6327617,38.41334979,279.8666667,270.8666667,3.268369447,-100,251,271,304,261,,,,,,,,,0
82,9/7/2011,264,255,264,255,268,50.77720042,29.78723404,0.314967921,0.104989307,0.100586532,0.703575399,-4.258599423,10.07981406,265.45,219.5523966,311.3476034,34.58097828,277.4333333,268.2333333,3.372021991,-70.21276596,251,270,305.5,260.5,,,,,,,,,0
83,9/13/2011,270,269,270,269,313,53.04868409,42.55319149,0.439094533,0.251354151,0.119746792,1.034148694,-3.142420903,9.67183265,268.7,232.1262389,305.2737611,27.22274737,275.0666667,267.0666667,2.951303492,-57.44680851,251,265,305.5,258,,,,,,,,,0
84,9/15/2011,265,265,265,265,20,50.93909454,31.91489362,0.323814724,0.359292393,0.238545284,0.681603102,-2.795973196,9.204649385,270.7,240.0008143,301.3991857,22.68133406,272.4,265.4,2.603198215,-68.08510638,251,265,305.5,258,,,,,,,,,0
85,9/19/2011,250,260,260,249,443,45.13963726,2.325581395,0.00773866,0.256882639,0.289176394,-1.245628495,-3.778563834,9.884184447,271.4,243.3757248,299.4242752,20.65163979,270.8,261.6,3.456048084,-97.6744186,251,264.5,305.5,257.75,,,,,,,,,0
86,9/20/2011,252,255,255,252,311,46.02205834,6.976744186,0.065078691,0.132210692,0.249461908,-2.325057043,-3.886393906,9.395766002,271.6,244.1963506,299.0036494,20.17941781,268.0666667,260.2666667,2.952681388,-93.02325581,251,264.5,305.5,257.75,,,,,,,,,0
87,9/22/2011,277,257,277,257,956,55.629472,68.29268293,0.684932388,0.252583246,0.213892192,-0.236142038,-1.437983121,10.9561894,272.85,246.8940758,298.8059242,19.0257828,269.6,257.8,4.474781949,-31.70731707,251,263,305.5,257,,,,,,,,,0
88,9/25/2011,277,277,277,277,315,55.629472,90.32258065,0.801214873,0.517075317,0.300623085,1.213876781,0.009628558,9.860570462,273.35,247.4789737,299.2210263,18.92886502,269.3,257.5,4.479878512,-9.677419355,251,263,305.5,257,,,,,,,,,0
89,9/26/2011,275,275,275,275,80,54.72573691,83.87096774,0.779685449,0.75527757,0.508312045,1.964164439,0.607932973,9.074513415,272.8,247.5682739,298.0317261,18.49833289,269.1333333,258.3333333,4.095045501,-16.12903226,253,263,305.5,258,,,,,,,,,0
90,10/12/2011,280,280,280,280,74,56.62297008,100,0.931990795,0.837630372,0.703327753,2.9899395,1.306966428,8.667062074,272.2,248.2868237,296.1131763,17.57029852,270.4666667,260.6666667,3.690222166,0,258.5,264.5,305.5,261.5,,,,,,,,,0
91,10/17/2011,284,279,284,279,214,58.13444466,100,1,0.903892081,0.832266675,4.069736098,1.909410421,8.300355867,271.8,248.9824629,294.6175371,16.78994637,273.5333333,263.7333333,3.648095297,0,268.5,266.5,305.5,267.5,,,,,,,,,0
92,10/18/2011,290,289,290,285,279,60.36540281,100,1,0.977330265,0.90628424,5.382441497,2.577692655,8.07032028,271.95,248.6994086,295.2005914,17.09916631,275.8666667,266.8666667,3.316545879,0,273,269.5,305.5,271.25,,,,,,,,,0
93,10/20/2011,295,295,295,295,114,62.17434411,100,1,1,0.960407449,6.712646674,3.126318266,7.763288252,272.45,247.715611,297.184389,18.15701157,278.3,269.5,3.212851406,0,273,272,305.5,272.5,,,,,,,,,0
94,10/23/2011,300,295,300,295,211,63.94642305,100,1,1,0.992443422,8.02210589,3.548621986,7.486959427,273.2,246.1844489,300.2155511,19.77712378,282.1333333,272.3333333,3.53492846,0,274.5,276,305.5,275.25,,,,,,,,,0
95,10/24/2011,300,295,300,295,222,63.94642305,100,1,1,1,8.729334339,3.404680348,7.238263484,274.2,244.8701517,303.5298483,21.39303303,286.0666667,277.4666667,3.052170827,0,274.5,278.5,305.5,276.5,,,,,,,,,0
96,10/25/2011,308,300,308,300,589,66.82999923,100,1,1,1,9.891632172,3.653582545,7.314437136,276.1,243.3775307,308.8224693,23.70334614,291.8,282.2,3.344947735,0,278.5,291.5,305.5,285,,,,,,,,,0
97,10/30/2011,302,302,302,302,100,62.77478106,89.83050847,0.813040549,0.937680183,0.979226728,9.784291608,2.836993584,7.182993422,277.45,242.8466765,312.0533235,24.94382666,292.9666667,287.3666667,1.92992533,-10.16949153,278.5,291.5,305.5,285,,,,,,,,,0
98,10/31/2011,296,296,296,296,100,58.92424264,79.66101695,0.635517535,0.816186028,0.917955404,8.801826734,1.483622968,7.06469408,278.25,242.7204348,313.7795652,25.53787253,294.8666667,289.2666667,1.917370463,-20.33898305,278.5,293.5,298,286,,,,,,,,,0
99,11/2/2011,313,301,313,301,220,65.400052,100,0.931278773,0.793278952,0.849048388,9.794151593,1.980758262,8.058224672,280.4,242.0364757,318.7635243,27.36342678,299.4666667,291.4666667,2.707581227,0,281,296,282,288.5,,,,,,,,,0
100,11/3/2011,282,313,313,282,1119,49.938817,44.64285714,0,0.522265436,0.710576805,6.793927999,-0.815572266,10.3524022,281.5,244.2951616,318.7048384,26.43327772,303.8,289.6,4.785979103,-55.35714286,281,297.5,254.5,289.25,,,,,,,,,0
101,11/6/2011,267,277,277,267,770,44.46153852,0,0,0.310426258,0.541990215,2.885281366,-3.779375119,10.81716198,282.35,247.3512857,317.3487143,24.79101418,303.1,287.9,5.143824027,-100,281,290,254.5,285.5,,,,,,,,,0
102,11/8/2011,266,266,266,266,73,44.11416392,0,0,7.40E-17,0.277563898,0.000654525,-5.331201568,9.835445786,282.45,247.6507184,317.2492816,24.64102078,300.3666667,286.1666667,4.842009548,-100,281,289.5,254.5,285.25,,,,,,,,,0
103,11/9/2011,287,271,287,271,1712,52.50598845,44.68085106,0.369426192,0.123142064,0.144522774,0.339661782,-3.993755449,10.95190121,283.3,248.9308278,317.6691722,24.26344669,300.6333333,283.2333333,5.960264901,-55.31914894,281,289.5,254.5,285.25,,,,,,,,,0
104,11/10/2011,296,291,296,291,4500,55.58421038,63.82978723,0.504936151,0.291454114,0.138198726,1.565650459,-2.214213417,10.75671109,284.85,251.131904,318.568096,23.67428192,300.2333333,282.8333333,5.968442717,-36.17021277,281,289.5,254.5,285.25,,,,,,,,,0
105,11/13/2011,287,291,291,287,949,51.95764731,44.68085106,0.345287033,0.406549792,0.273715324,1.374589533,-1.924219475,10.58103998,286.7,257.0143132,316.3856868,20.7085363,299.1333333,281.9333333,5.920146856,-55.31914894,281,289.5,256,285.25,,,,,,,,,0
106,11/14/2011,287,282,287,282,1335,51.95764731,44.68085106,0.345287033,0.398503406,0.365502438,1.208557546,-1.672201169,10.02293598,288.45,263.3862812,313.5137188,17.37820683,296.8333333,280.2333333,5.75323475,-55.31914894,281,289.5,257.5,285.25,,,,,,,,,0
107,11/15/2011,292,292,292,292,118,53.8957707,55.31914894,0.4306074,0.373727156,0.392926785,1.619484628,-1.00901927,9.520642382,289.2,264.6594214,313.7405786,16.97135452,295.8333333,279.2333333,5.773243682,-44.68085106,281,289.5,259,285.25,,,,,,,,,0
108,11/21/2011,287,287,287,287,73,51.6517499,44.68085106,0.331820771,0.369238401,0.380489654,1.308039534,-1.056371491,9.068578144,289.7,265.7742816,313.6257184,16.51758259,294.9333333,278.3333333,5.79137109,-55.31914894,281,289.5,259,285.25,,,,,,,,,0
109,11/24/2011,282,282,282,282,78,49.43512351,34.04255319,0.234240102,0.332222758,0.358396105,0.504866641,-1.487635508,8.661720329,290.05,266.7994086,313.3005914,16.03212645,291.0333333,276.8333333,5.001173985,-65.95744681,281,281,259,281,,,,,,,,,0
110,12/1/2011,277,277,277,277,100,47.25135592,23.40425532,0.147383655,0.237814843,0.313092001,-0.618434783,-2.088749545,8.295548297,289.9,266.3551492,313.4448508,16.24342933,286.4,278.4,2.83286119,-76.59574468,281,281,259,281,,,,,,,,,0
111,12/22/2011,276,281,281,276,300,46.80602054,21.27659574,0.12646203,0.169361929,0.24646651,-1.490879353,-2.368955292,7.965993467,289.5,265.3049592,313.6950408,16.7150541,286.6333333,279.6333333,2.472333412,-78.72340426,282.5,283.5,259,283,,,,,,,,,0
112,12/26/2011,261,271,271,261,357,40.62151509,0,0,0.091281895,0.166152889,-3.723905738,-3.681585342,8.66939412,288.05,260.8582733,315.2417267,18.87986578,287.4666667,278.4666667,3.180586642,-100,285,278.5,259,281.75,,,,,,,,,0
113,12/27/2011,265,265,270,260,11098,42.79227287,9.433962264,0.145077992,0.090513341,0.117052388,-4.731333715,-3.751210655,8.802454708,286.55,257.7925662,315.3074338,20.07149455,285.2,277.4,2.772840384,-90.56603774,286.5,276,259,281.25,,,,,,,,,0
114,12/28/2011,260,261,263,260,9812,40.78512773,0,0.010934704,0.052004232,0.077933156,-5.866559631,-3.909149257,8.422209237,284.55,254.2879776,314.8120224,21.27009131,281.6666667,274.2666667,2.662189711,-100,286.5,276,259,281.25,,,,,,,,,0
