,date,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,volatility_bbm_3,volatility_bbl_3,volatility_bbh_3,volatility_kch_3,volatility_kcl_3,volatility_kcw_3,ichiconversionline_3,signal
22,2/12/2007,805,805,805,805,570,60.71689487,100,,,,9.33760819,,14.20145586,786.35,743.5842427,829.1157573,10.87702863,789.0333333,772.8333333,2.07444084,0,,772.5,775.5,,,,,,,,,,0
23,2/13/2007,805,805,805,805,200,60.71689487,100,,,,9.497823679,,12.78131027,787.1,743.5849451,830.6150549,11.05705879,794.3666667,779.1666667,1.931957802,0,,778,775.5,,,,,,,,,,0
24,2/14/2007,790,805,800,790,1330,53.69741657,76.92307692,,,,7.707409111,1.500073383,13.00317924,785.75,744.4081326,827.0918674,10.52290611,799.7,783.7,2.020967538,-23.07692308,,780,775.5,,,,,,,,,,0
25,2/15/2007,785,790,790,785,1710,51.55771893,69.23076923,,,,5.723729679,-0.386884839,12.20286132,784.2,745.2559376,823.1440624,9.93217609,803.7666667,786.7666667,2.137647749,-30.76923077,775.5,792.5,775.5,784,,,,,,,,,0
26,2/18/2007,775,785,775,775,6270,47.48253176,53.84615385,0.294015363,,,3.099859215,-2.408604242,11.98257519,784.2,745.2559376,823.1440624,9.93217609,801.6,789.6,1.508295626,-46.15384615,775.5,790,775.5,782.75,,,,,,,,,0
27,2/20/2007,760,775,775,760,150,42.106312,30.76923077,0,,,-0.457381086,-4.772675635,12.28431767,782.2,742.6040406,821.7959594,10.12425451,798.2666667,787.2666667,1.387545726,-69.23076923,780,782.5,775.5,781.25,,,,,,,,,0
28,2/21/2007,750,760,755,750,2890,38.94081702,0,0,0.098005121,,-4.016525465,-6.665456011,12.0558859,780.7,738.6852407,822.7147593,10.76335579,793.6,783.6,1.268069997,-100,780,777.5,775.5,778.75,,,,,,,,,0
29,2/25/2007,755,750,755,750,690,41.31637716,9.090909091,0.109090359,0.036363453,,-5.822439469,-6.777096012,11.35029731,778.95,735.7320639,822.1679361,11.09645962,788.8333333,779.8333333,1.147471313,-90.90909091,780,777.5,775.5,778.75,,,,,,,,,0
30,2/26/2007,750,755,755,747,7770,39.6548919,5.172413793,0.032791712,0.047294024,0.060554199,-7.482764225,-6.749936614,11.01526758,776.95,732.2846891,821.6153109,11.4976024,783.8666667,774.2666667,1.23224371,-94.82758621,778,776,775.5,777,,,,,,,,,0
31,2/27/2007,745,750,750,740,1920,38.00883987,7.692307692,0,0.047294024,0.0436505,-9.001439014,-6.614889123,10.91374082,774.8,728.3646686,821.2353314,11.98640459,778.8666667,767.2666667,1.50051742,-92.30769231,778,772.5,775.5,775.25,,,,,,,,,0
32,2/28/2007,745,745,745,745,1900,38.00883987,7.692307692,0,0.010930571,0.035172873,-9.829129263,-5.954063497,9.82236674,774.25,726.6900378,821.8099622,12.28542774,772.8666667,761.2666667,1.512254476,-92.30769231,778,770,775.5,774,,,,,,,,,0
33,3/4/2007,730,745,730,730,100,33.21221987,0,0,0,0.019408198,-11.82533168,-6.360212728,10.34013007,773.5,723.6983936,823.3016064,12.87695059,765.3666667,753.7666667,1.527186554,-100,767.5,760,775,763.75,,,,,,,,,0
34,3/5/2007,720,730,730,720,130,30.4530705,0,0,0,0.003643524,-14.02454984,-6.847544718,10.30611706,772.2,718.3981413,826.0018587,13.93469534,758.3666667,746.7666667,1.541391682,-100,762.5,747.5,770,755,,,,,,,,,0
35,3/6/2007,715,720,720,715,4160,29.14913052,0,0,0,0,-15.75426735,-6.861809777,9.775505353,770.4,711.6959967,829.1040033,15.23987624,751.3666667,739.7666667,1.555863549,-100,760,745,767.5,752.5,,,,,,,,,0
36,3/7/2007,710,715,715,710,2710,27.86426185,0,0,0,0,-17.11668273,-6.579380123,9.297954818,766.9,702.8035102,830.9964898,16.71573602,745.5333333,732.9333333,1.704468594,-100,757.5,732.5,765,745,,,,,,,,,0
37,3/8/2007,730,710,730,710,1720,39.37558776,22.22222222,0.445602793,0.148534264,0.049511421,-15.41374317,-3.901152451,10.36815934,763.4,699.2707555,827.5292445,16.80095481,741.8666667,728.2666667,1.85017232,-77.77777778,757.5,732.5,765,745,,,,,,,,,0
38,3/11/2007,750,730,750,750,670,48.26623954,50,0.861080661,0.435561151,0.194698472,-11.63359376,-0.096802438,11.3313434,761.4,698.2259547,824.5740453,16.59418054,741.2,728.6,1.714518982,-50,757.5,732.5,765,745,,,,,,,,,0
39,3/12/2007,760,750,760,750,370,52.05246953,76.92307692,1,0.768894485,0.450996634,-7.621796798,3.131995621,11.19820906,759.5,698.5984401,820.4015599,16.03727713,742.0333333,728.4333333,1.849752913,-23.07692308,757.5,735,765,746.25,,,,,,,,,0
40,3/14/2007,760,760,760,750,3560,52.05246953,76.92307692,1,0.953693554,0.719383063,-4.660016259,4.875020928,11.07838816,757.25,700.0245686,814.4754314,15.11401292,742.8333333,728.8333333,1.902604757,-23.07692308,757.5,735,765,746.25,,,,,,,,,0
41,3/15/2007,750,760,760,750,5630,47.97995929,80,0.83163241,0.94387747,0.888821836,-3.608414498,4.741298151,10.97054934,754.5,701.5944237,807.4055763,14.02400961,743.6666667,729.6666667,1.900452489,-20,757.5,735,765,746.25,,,,,,,,,0
42,3/21/2007,741,750,750,741,610,44.59803585,62,0.691815376,0.841149262,0.912906762,-3.792284527,3.645942498,10.77349441,751.3,703.5041843,799.0958157,12.7234968,744.4666667,728.6666667,2.145087568,-38,757.5,735,765,746.25,,,,,,,,,0
43,3/22/2007,730,741,730,730,620,40.81166563,40,0.535277518,0.686241768,0.823756167,-5.047990115,1.912189528,10.79614497,747.55,705.8104504,789.2895496,11.16702551,744.4666667,728.6666667,2.145087568,-60,757.5,735,765,746.25,,,,,,,,,0
44,3/25/2007,721,730,735,721,420,37.97115963,22,0.417844014,0.548312303,0.691901111,-6.791490518,0.1349513,11.11653047,744.1,705.6921883,782.5078117,10.32329303,745.1,728.5,2.252985885,-78,757.5,735,765,746.25,,,,,,,,,0
45,3/28/2007,710,721,720,710,5590,34.78452462,0,0.286100684,0.413074072,0.549209381,-9.051404611,-1.699970235,11.10487742,740.35,704.0607454,776.6392546,9.803269969,745.2666667,727.6666667,2.389789083,-100,757.5,735,765,746.25,,,,,,,,,0
46,3/29/2007,700,710,710,700,10350,32.14354959,0,0.176916281,0.293620326,0.418335567,-11.50143399,-3.319999694,10.99438968,736.6,699.9099469,773.2900531,9.962001941,744.9333333,726.3333333,2.528433549,-100,752.5,730,760,741.25,,,,,,,,,0
47,4/1/2007,740,700,740,735,2480,48.86695021,66.66666667,0.868302796,0.443773254,0.383489217,-8.466850999,-0.22833336,13.89495071,735.6,700.4580023,770.7419977,9.554648631,744.9333333,729.3333333,2.116306412,-33.33333333,752.5,730,760,741.25,,,,,,,,,0
48,4/2/2007,730,740,745,730,5060,45.82625746,50,0.742593079,0.595937385,0.444443655,-7.270920756,0.774077507,14.00545564,734.6,700.0202371,769.1797629,9.414582866,744.9333333,726.3333333,2.528433549,-50,752.5,730,760,741.25,,,,,,,,,0
49,4/3/2007,725,730,725,725,4870,44.34061698,41.66666667,0.681173047,0.764022974,0.601244538,-6.820131434,0.979893464,13.10491008,733.1,699.6043286,766.5956714,9.138090673,740.7666667,724.1666667,2.266314736,-58.33333333,750,730,760,740,,,,,,,,,0
50,4/5/2007,715,725,715,715,410,41.44658851,25,0.46727994,0.630348689,0.663436349,-7.451187422,0.27906998,12.79441907,731.35,697.9118481,764.7881519,9.14422694,735.6,721,2.004668406,-75,745,725,760,735,,,,,,,,,0
51,4/9/2007,710,715,710,705,920,40.03942805,16.66666667,0.396600041,0.515017676,0.636463113,-8.259048663,-0.423033009,12.51497716,729.6,695.5447508,763.6552492,9.335320512,730.6,717,1.878972092,-83.33333333,737.5,722.5,760,730,,,,,,,,,0
52,4/10/2007,710,710,710,710,320,40.03942805,16.66666667,0.396600041,0.420160007,0.521842124,-8.613642887,-0.622101786,11.26347945,727.85,693.5438781,762.1561219,9.426701079,726.3,714.5,1.637978901,-83.33333333,737.5,722.5,760,730,,,,,,,,,0
53,4/11/2007,710,710,715,710,4280,40.03942805,16.66666667,0.396600041,0.396600041,0.443925908,-8.646111909,-0.523656647,10.6371315,726.85,691.697333,762.002667,9.672605638,724.9666667,712.1666667,1.781323932,-83.33333333,730,722.5,760,726.25,,,,,,,,,0
54,4/12/2007,725,710,725,725,230,46.80633287,41.66666667,0.876782397,0.556660826,0.457806958,-6.788408717,1.067237237,11.07341835,727.1,692.0748662,762.1251338,9.634199926,723.5,713.5,1.391788448,-58.33333333,730,722.5,760,726.25,,,,,,,,,0
55,4/15/2007,730,725,730,715,750,48.87742973,60,1,0.757794146,0.570351671,-4.780900122,2.459796665,11.46607652,727.85,693.2536129,762.4463871,9.506460698,725.1666667,714.1666667,1.52848541,-40,730,725,760,727.5,,,,,,,,,0
56,4/16/2007,725,730,725,725,520,46.91047227,55.55555556,0.882456582,0.919746327,0.744733766,-3.830501584,2.728156163,10.81946886,728.6,694.9464712,762.2535288,9.23786132,726.3333333,717.3333333,1.246825214,-44.44444444,730,725,758,727.5,,,,,,,,,0
57,4/17/2007,725,725,725,725,620,46.91047227,55.55555556,0.882456582,0.921637722,0.866392731,-3.078855642,2.783841684,9.737521978,728.35,694.667512,762.032488,9.248984151,724.5,716.5,1.110340042,-44.44444444,730,717.5,758,723.75,,,,,,,,,0
58,4/18/2007,725,725,725,725,130,46.91047227,55.55555556,0.882456582,0.882456582,0.907946877,-2.483178061,2.703615411,8.76376978,727.1,694.9012423,759.2987577,8.856761859,722,717,0.694927033,-44.44444444,730,717.5,758,723.75,,,,,,,,,0
59,4/19/2007,725,725,725,725,980,46.91047227,55.55555556,0.882456582,0.882456582,0.895516962,-2.010038547,2.54140394,7.887392802,725.35,696.9086569,753.7913431,7.842101922,722,717,0.694927033,-44.44444444,730,717.5,752.5,723.75,,,,,,,,,0
60,4/22/2007,720,725,720,720,1290,44.50166738,37.5,0.504892337,0.756601834,0.840505,-2.188854722,1.890070213,7.598653522,723.35,699.7171838,746.9828162,6.534268658,722.5,717.5,0.694444444,-62.5,730,720,752.5,725,,,,,,,,,0
61,4/23/2007,720,720,720,720,220,44.50166738,37.5,0.504892337,0.630747086,0.756601834,-2.258434923,1.456392009,6.83878817,721.85,701.6087056,742.0912944,5.608171899,723.1666667,719.1666667,0.554656806,-62.5,730,720,752.5,725,,,,,,,,,0
62,4/25/2007,710,720,720,710,1470,39.76539683,20,0,0.336594892,0.574647937,-3.36188704,0.282351914,7.154909353,720.3,701.4628028,739.1371972,5.230375467,724.5,718.5,0.831600832,-80,730,720,752.5,725,,,,,,,,,0
63,4/26/2007,720,710,720,710,4570,45.95931864,60,0.679751914,0.394881417,0.454074465,-2.930646848,0.570873685,7.439418418,719.8,701.4959021,738.1040979,5.085884385,725.5,718.5,0.969529086,-40,730,720,752.5,725,,,,,,,,,0
64,4/29/2007,735,720,735,732,5170,53.6573013,100,1,0.559917305,0.430464538,-0.893477163,2.086434696,8.195476576,720.5,701.0320777,739.9679223,5.404003424,726.7,719.1,1.051321068,0,730,722.5,752.5,726.25,,,,,,,,,0
65,4/30/2007,732,735,732,730,260,52.06004243,88,0.885022325,0.854924747,0.603241156,0.203664277,2.546860909,7.875928918,721.6,702.1433816,741.0566184,5.392632597,726.0333333,721.0333333,0.691053165,-12,730,722.5,752.5,726.25,,,,,,,,,0
66,5/3/2007,735,732,735,735,5110,53.54914588,100,0.9922145,0.959078942,0.791306998,1.290486402,2.906946427,7.388336026,723.35,705.7741643,740.9258357,4.859566098,727.0333333,722.0333333,0.690099374,0,730,722.5,752.5,726.25,,,,,,,,,0
67,5/6/2007,736,735,736,735,10930,54.06138011,100,1,0.959078942,0.924360877,2.121116849,2.990061499,6.749502424,723.15,706.2588781,740.0411219,4.671540325,728.2,723,0.716648291,0,725,723,752.5,724,,,,,,,,,0
68,5/7/2007,741,736,741,740,5400,56.63625629,100,1,0.997404833,0.971854239,3.198562174,3.254005459,6.574552181,723.7,705.3032612,742.0967388,5.084078718,729.8666667,724.4666667,0.742608297,0,722.5,725.5,752.5,724,,,,,,,,,0
69,5/8/2007,760,741,760,740,900,64.7270097,100,1,1,0.985494592,5.975596912,4.824832158,7.917096963,725.45,701.1726443,749.7273557,6.693047268,734.7,725.3,1.287671233,0,730,735,752.5,732.5,,,,,,,,,0
70,5/9/2007,775,760,775,760,9570,69.55628713,100,1,1,0.999134944,9.414643228,6.611102779,8.625387267,728.45,696.4720388,760.4279612,8.779727136,741.2,728.8,1.68707483,0,737.5,742.5,752.5,740,,,,,,,,,0
71,5/10/2007,785,775,790,780,7840,72.28094354,93.75,1,1,1,12.67090628,7.893892665,9.26284854,732.2,692.9846969,771.4153031,10.71163702,748.7,734.3,1.94200944,-6.25,745,750,752.5,747.5,,,,,,,,,0
72,5/13/2007,790,785,790,785,4370,73.55534628,100,1,1,1,15.16484354,8.310263943,8.836563686,736.2,690.9955754,781.4044246,12.28047394,755.7,742.3,1.789052069,0,747.5,760,752.5,753.75,,,,,,,,,0
73,5/14/2007,790,790,790,785,2200,73.55534628,100,1,1,1,16.5146065,7.728021521,8.452907318,740.2,690.9959351,789.4040649,13.29480272,762.3666667,749.9666667,1.639850121,0,747.5,760,752.5,753.75,,,,,,,,,0
74,5/15/2007,790,790,790,790,860,73.55534628,100,1,1,1,17.04000789,6.60273833,7.607616586,743.45,690.2655098,796.6344902,14.30748274,767.6666667,755.8666667,1.549030762,0,747.5,762.5,752.5,755,,,,,,,,,0
75,5/17/2007,785,790,785,785,100,69.56097904,93.75,0.881788304,0.960596101,0.986865367,16.42695187,4.791745846,7.346854927,746.2,690.4555832,801.9444168,14.94087825,772.8333333,761.4333333,1.486051968,-6.25,747.5,762.5,750,755,,,,,,,,,0
76,5/20/2007,775,785,780,775,490,62.27688855,81.25,0.591301405,0.824363236,0.928319779,14.48639581,2.280951827,7.612169435,748.7,692.5,804.9,15.01268866,777.5,765.1,1.607675353,-18.75,747.5,765,745,756.25,,,,,,,,,0
77,5/21/2007,765,775,765,765,1700,55.96563321,58.33333333,0.181695072,0.551594927,0.778851421,11.67597691,-0.423573661,7.850952491,750.7,695.1730696,806.2269304,14.79337429,780.3333333,768.1333333,1.575752357,-41.66666667,750,765,745,757.5,,,,,,,,,0
78,5/22/2007,755,765,755,750,1810,50.45870255,41.66666667,0,0.257665492,0.544541218,8.333564408,-3.012788927,8.565857242,752.2,697.924407,806.475593,14.43116007,782,769,1.676337847,-58.33333333,750,770,745,760,,,,,,,,,0
79,5/23/2007,760,755,760,755,1200,52.95150907,45.45454545,0.107929384,0.096541485,0.301933968,6.372549238,-3.979043277,8.209271518,753.95,701.0558604,806.8441396,14.0312062,781,771,1.288659794,-54.54545455,750,770,745,760,,,,,,,,,0
80,5/24/2007,775,760,775,760,5400,59.53044377,72.72727273,0.392773137,0.16690084,0.173702606,6.526105437,-3.060389663,8.888344366,756.7,705.4590008,807.9409992,13.54327982,781,771,1.288659794,-27.27272727,750,770,745,760,,,,,,,,,0
81,5/29/2007,780,775,780,775,980,61.46477653,80,0.476522655,0.325741725,0.196394684,7.026684896,-2.047848163,8.499509929,759.7,710.4167371,808.9832629,12.97440118,779.8333333,770.8333333,1.160791058,-20,750,770,745,760,,,,,,,,,0
82,5/30/2007,782,780,785,780,1420,62.24219379,84,0.510181972,0.459825921,0.317489496,7.421488352,-1.322435766,8.149558936,763.3,718.7754001,807.8245999,11.66634349,779.2333333,770.2333333,1.161690044,-16,750,770,745,760,,,,,,,,,0
83,5/31/2007,790,782,800,785,3070,65.26114738,80,0.640891594,0.542532074,0.442699907,8.400081152,-0.275074372,9.134603043,766.8,725.5563338,808.0436662,10.75734642,780.5666667,769.5666667,1.419232754,-20,755,775,750,765,,,,,,,,,0
84,6/3/2007,790,790,790,790,1110,65.26114738,80,0.640891594,0.59732172,0.533226572,8.869229727,0.155259362,8.221142739,769.55,729.8487406,809.2512594,10.31804546,780.5666667,769.5666667,1.419232754,-20,755,775,750,765,,,,,,,,,0
85,6/4/2007,800,790,803,790,2830,68.86954607,94.33962264,0.797122029,0.692968406,0.610940733,10.08569714,1.097381422,8.699028465,772.95,735.0898627,810.8101373,9.796270741,783.1333333,769.5333333,1.751824818,-5.660377358,756.5,776.5,751.5,766.5,,,,,,,,,0
86,6/5/2007,798,800,800,795,2330,67.36248169,90.56603774,0.731871667,0.723295097,0.671195074,10.45545987,1.173715321,8.329125618,776.1,741.0121104,811.1878896,9.042105308,785.2333333,771.6333333,1.747098874,-9.433962264,756.5,776.5,751.5,766.5,,,,,,,,,0
87,6/6/2007,800,798,800,800,1150,68.11391504,94.33962264,0.764405976,0.764466557,0.72691002,10.67516102,1.114733176,7.696213056,779.3,747.9497209,810.6502791,8.045753652,788.7333333,775.1333333,1.739278711,-5.660377358,756.5,779,751.5,767.75,,,,,,,,,0
88,6/7/2007,795,800,795,795,1930,64.1382039,84.90566038,0.716118906,0.737465516,0.74174239,10.00791339,0.35798844,7.426591751,782,755.3616817,808.6383183,6.812869122,792.4,779.8,1.60284951,-15.09433962,756.5,781.5,751.5,769,,,,,,,,,0
89,6/10/2007,810,795,810,810,8610,69.82791528,100,1,0.826841627,0.7762579,10.96616409,1.052991306,8.183932576,784.5,757.2126403,811.7873597,6.956624528,797.0666667,785.4666667,1.466003876,0,770,792.5,755,781.25,,,,,,,,,0
90,6/11/2007,830,810,830,810,4340,75.42618905,100,1,0.905372969,0.823226704,13.58011113,2.933550681,9.365539318,787.25,753.9280853,820.5719147,8.465395925,802.9,790.3,1.58172232,0,780,805,765,792.5,,,,,,,,,0
91,6/12/2007,830,830,830,830,810,75.42618905,100,1,1,0.910738199,15.05197301,3.524330049,8.428985386,789.5,751.3607813,827.6392187,9.66161334,807.5666667,795.9666667,1.446804972,0,782.5,807.5,765,795,,,,,,,,,0
92,6/13/2007,860,830,860,840,4150,81.42263114,100,1,1,0.968457656,19.03123621,6.002874599,10.58608685,793,744.0142878,841.9857122,12.35453019,816.1666667,801.5666667,1.804994643,0,797.5,825,780,811.25,,,,,,,,,0
93,6/14/2007,820,860,820,820,530,60.295899,60,0.034964767,0.678321589,0.892773863,16.86798025,3.071694907,13.52747816,794.5,744.1551889,844.8448111,12.67333192,817.5,805.9,1.429099421,-40,800,825,780,812.5,,,,,,,,,0
94,6/17/2007,810,820,810,810,1150,56.35882298,41.17647059,0,0.344988256,0.674436615,13.84479143,0.038804868,13.17473035,795.5,744.7594836,846.2405164,12.75688658,819.5,807.9,1.425586826,-58.82352941,800,827.5,780,813.75,,,,,,,,,0
95,6/18/2007,835,810,835,820,2540,62.88373915,68.75,0.260332194,0.09843232,0.373914055,14.19061665,0.307704074,14.35725731,798,744.7121027,851.2878973,13.35536273,822.9333333,810.9333333,1.468908112,-31.25,805,827.5,780,816.25,,,,,,,,,0
96,6/19/2007,851,835,851,850,6460,66.35120834,88,0.398677858,0.219670017,0.221030198,15.85709787,1.579348239,14.52153158,801.8,744.8979789,858.7020211,14.19356973,827.8333333,816.6333333,1.362143755,-12,805,827.5,780,816.25,,,,,,,,,0
97,6/20/2007,875,851,875,851,2080,70.76337204,100,0.574715102,0.411241718,0.243114685,19.28436643,4.005293434,15.46937842,807.3,744.7089463,869.8910537,15.50626872,836.9333333,820.9333333,1.930191411,0,812.5,842.5,787.5,827.5,,,,,,,,,0
98,6/21/2007,865,875,900,865,5320,66.83118004,68.18181818,0.417827849,0.46374027,0.364884002,20.06656774,3.829995796,17.42244058,812.8,750.2265232,875.3734768,15.39701693,848.6,825.6,2.747580934,-31.81818182,825,855,802.5,840,,,,,,,,,0
99,6/24/2007,890,865,890,870,4480,71.14767901,90.47619048,0.590048246,0.527530399,0.467504129,22.88965586,5.322467135,18.18019652,819.3,753.1120857,885.4879143,16.15718645,857.9333333,830.9333333,3.197410492,-9.523809524,825,855,802.5,840,,,,,,,,,0
100,6/25/2007,890,890,890,890,100,71.14767901,90.47619048,0.590048246,0.532641447,0.507970705,24.2762438,5.36724406,16.36217687,825.05,755.3665012,894.7334988,16.89194564,862.6,839.6,2.702385149,-9.523809524,825,855,802.5,840,,,,,,,,,0
101,6/26/2007,885,890,890,885,380,69.06296632,85.71428571,0.506872031,0.562322841,0.540831562,24.07990352,4.136723021,15.22595918,830.3,759.1772891,901.4227109,17.1318104,868.7666667,844.7666667,2.801229428,-14.28571429,825,855,802.5,840,,,,,,,,,0
102,6/27/2007,885,885,890,885,1680,69.06296632,83.33333333,0.506872031,0.534597436,0.543187241,23.34959657,2.725132857,14.20336326,835.45,764.1464938,906.7535062,17.069485,870.6,849.6,2.441576561,-16.66666667,825,855,802.5,840,,,,,,,,,0
103,7/1/2007,870,885,900,870,3540,62.67356063,66.66666667,0.251946456,0.421896839,0.506272372,20.60149308,-0.018376503,15.78302694,839.45,769.8382912,909.0617088,16.58507565,879.6,852.6,3.11742293,-33.33333333,825,860,805,842.5,,,,,,,,,0
104,7/2/2007,865,870,865,865,1580,60.65902887,61.11111111,0.171570332,0.310129606,0.42220796,17.63733529,-2.386027438,14.70472424,843.2,776.6339426,909.7660574,15.78891305,885.1,858.1,3.097751262,-38.88888889,827.5,875,805,851.25,,,,,,,,,0
105,7/3/2007,870,865,870,865,610,61.97528498,66.66666667,0.224086538,0.215867775,0.31596474,15.70810681,-3.452204736,13.73425182,846.7,782.2605711,911.1394289,15.22131308,887.9333333,862.9333333,2.855728592,-33.33333333,830,875.5,805,852.75,,,,,,,,,0
106,7/4/2007,900,870,900,875,16580,68.73450479,100,0.836824822,0.41082723,0.312274871,17.31979806,-1.472410787,15.36082664,851.8,787.4397638,916.1602362,15.11158398,894.4333333,864.6333333,3.388160388,0,837.5,882.5,805,860,,,,,,,,,0
107,7/5/2007,885,900,900,885,1590,62.73020969,83.33333333,0.430823499,0.497244953,0.374646653,16.33973774,-1.961976887,15.32474397,856.05,794.781819,917.318181,14.31415945,895.8333333,867.8333333,3.175203175,-16.66666667,840,882.5,805,861.25,,,,,,,,,0
108,7/9/2007,900,885,900,900,4620,65.93486968,100,0.503004747,0.590217689,0.499429958,16.92538152,-1.101066482,15.29226958,861.3,803.989966,918.610034,13.30779845,894.6666667,873.6666667,2.375117813,0,842.5,882.5,805,862.5,,,,,,,,,0
109,7/10/2007,915,900,915,910,8730,68.82194864,100,0.778262184,0.57069681,0.552719818,18.57902706,0.442063248,15.26304262,866.55,809.7645265,923.3354735,13.10610432,896.1666667,878.1666667,2.028931054,0,852.5,890,812.5,871.25,,,,,,,,,0
110,7/11/2007,920,915,920,910,2730,69.74249394,100,0.866028035,0.715764989,0.62555983,19.81910232,1.345710808,14.73673836,871.05,812.3321152,929.7678848,13.48209284,899.8333333,879.8333333,2.247611912,0,855,892.5,815,873.75,,,,,,,,,0
111,7/12/2007,915,920,915,910,1840,67.59325721,90.90909091,0.661117326,0.768469182,0.684976994,19.6315222,0.926504548,14.26306452,875.3,816.7778674,933.8221326,13.37190279,902.5,882.5,2.240896359,-9.090909091,857.5,892.5,815,875,,,,,,,,,0
112,7/15/2007,940,915,940,915,10930,72.20539228,100,1,0.842381787,0.775538653,21.79488601,2.471894687,15.33675807,879.3,814.8698828,943.7301172,14.65486573,909,885,2.675585284,0,867.5,902.5,825,885,,,,,,,,,0
113,7/16/2007,940,940,940,940,490,72.20539228,100,1,0.887039109,0.832630026,22.75239961,2.743526627,13.80308226,885.3,821.7323982,948.8676018,14.3606917,912,894,1.993355482,0,867.5,902.5,825,885,,,,,,,,,0
